comment,link
"Ο ""Έκπτωτος Άγγελος"" μόλις κυκλοφόρησε και είμαι σίγουρος ότι θα το αγαπήσετε όσο εγώ! ",https://www.youtube.com/watch?v=b0z_dp5-luQ
Το ακούς κλίνεις μάτια και φτιάχνεις το δικό σου παραμύθι με τα  δικά σου λάθη ,https://www.youtube.com/watch?v=b0z_dp5-luQ
"Το λατρεψα!!! Εισαι ενας κ μοναδικος!! Υπεροχη ερμηνεία, δεν θελεις να τελειωσει το τραγουδι",https://www.youtube.com/watch?v=b0z_dp5-luQ
"Για άλλη μια φορά ένα υπέροχο τραγούδι απο τον Νίκο! ""Έκπτωτος Άγγελος""  ",https://www.youtube.com/watch?v=b0z_dp5-luQ
Υπόκλιση στον Νίκο Γρίτση για αυτούς τους στίχους! Είχαμε καιρό να ακούσουμε τέτοιο τραγούδι  ,https://www.youtube.com/watch?v=b0z_dp5-luQ
Από το πρωί μέχρι το βράδυ σε ακούμε. Το καψαμε το Spotify. Ελα Ναύπλιο το καλοκαίρι για συναυλία να σε αποθεώσουμε.,https://www.youtube.com/watch?v=b0z_dp5-luQ
"Καλοτάξιδο ρε αλάνι μας, μας έφτιαξες παλι μεσημεριάτικα. Πάντα επιτυχίες Νικολαρα  μου,αστέρι μου. Φωνάρα όχι μαλακιες . Πάντα τέτοια. Να μας κάνεις πάντα κομμάτια.",https://www.youtube.com/watch?v=b0z_dp5-luQ
Οικονομόπουλος!!!! Μόνο!!Τους έχει επισκιάσει όλους της γενιάς του..Ποιος να συγκριθεί μαζί σου μάγκα μου;;;,https://www.youtube.com/watch?v=b0z_dp5-luQ
Τραγουδαρα το λατρέψαμε Καλοτάξιδο με επιτυχίες πάντα.Ν.Οικονομοπουλος τέλειος σε κάθε νέα του κυκλοφορία.,https://www.youtube.com/watch?v=b0z_dp5-luQ
Τι τραγουδάρα είναι αυτή!!! Επιτέλους κι ενα λαϊκό τραγούδι μέσα στην αηδία της τραπ που μας εχει κατακλύσει. Νομίζω μόνο ο Οικονομόπουλος θα μπορούσε να το ερμηνεύσει αυτό!,https://www.youtube.com/watch?v=b0z_dp5-luQ
Ανηψιέ πολυαγαπημένε Νικόλα να έχεις υγεία κατ' αρχάς. Καί μην ανησυχείς. Ή νέα σου επιτυχία έχει στήλει μηνύματα ανεπανάληπτης αποδοχής από τους θαυμαστές σου. Να ξέρεις ότι καμαρώνω για σένα και σε αγαπώ.  Ό θείος σου ΙΩΆΝΝΗΣ ΣΤΑΥΡΌΠΟΥΛΟΣ.,https://www.youtube.com/watch?v=b0z_dp5-luQ
Ότι και βγάλεις ότι και να πεις θα είσαι χρυσός για εμάς θα είσαι ο ψυχολόγος στα καλά και άσχημα θα είσαι ψυχολόγος στον χωρισμό και στην αγάπη μας Νικόλα συνέχισε έτσι σαγαπαμε!!!!!!!,https://www.youtube.com/watch?v=b0z_dp5-luQ
"Το Άκουσα το πρωί το τραγούδι 
Και αντί για γάλα στη βρώμη έβαλα ουίσκι.
Κόψε μας τα μεροκάματα Νικόλα...
Καλοτάξιδο",https://www.youtube.com/watch?v=b0z_dp5-luQ
Τι να πούμε για σένα!! Υπέροχος σε όλα!! τραγουδάρα!!,https://www.youtube.com/watch?v=b0z_dp5-luQ
שיר מדהים זמר ענק 🇮🇱🇮🇱,https://www.youtube.com/watch?v=b0z_dp5-luQ
Σ έναν κόσμο γεμάτο δήθεν καλλιτέχνες και τράπερς προσπάθησε να είσαι ο Οικονομόπουλος ,https://www.youtube.com/watch?v=b0z_dp5-luQ
This guy never disappoints you. Well done. 🇷🇸🇬🇷,https://www.youtube.com/watch?v=b0z_dp5-luQ
Φοβερη μουσικη δημιουργία για ακόμη μια φορα απο τον Γιωργαρο Σαμπάνη!!,https://www.youtube.com/watch?v=b0z_dp5-luQ
"Σαν ΕΚΠΤΩΤΟΣ ΑΓΓΕΛΟΣ ήρθες στις ζωές μας, αλλά Ο ΧΑΡΑΚΤΗΡΑΣ ΣΟΥ μας έκανε ΓΙΑ ΚΑΠΟΙΟ ΛΟΓΟ ΚΑΘΗΜΕΡΙΝΑ ΚΑΝΟΥΜΕ ΑΥΤΟ ΠΟΥ ΞΕΡΟΥΜΕ, δηλαδή να ΒΑΖΟΥΜΕ ΤΕΡΜΑ τα τραγούδια σου. ΓΙΑ ΧΙΛΙΟΥΣ ΛΟΓΟΥΣ βρίσκεσαι στην ΠΡΩΤΗ ΘΕΣΗ και εμείς ΟΣΟ ΤΙΠΟΤΑ ΣΕ ΘΕΛΟΥΜΕ. ΓΙΑ ΠΑΡΑΔΕΙΓΜΑ, στην ΟΔΟ ΜΟΝΑΞΙΑΣ ΕΙΝΑΙ ΚΑΤΙ ΛΑΪΚΆ με τα οποία είμαστε ΕΞΑΡΤΗΜΕΝΟΙ. ΕΝΝΟΕΙΤΑΙ πως ΕΞΑΙΤΙΑΣ ΣΟΥ δεν είναι ποτέ ΩΡΑ ΝΑ ΠΗΓΑΙΝΟΥΜΕ και ΔΕΝ ΦΕΥΓΟΥΜΕ ΤΩΡΑ. Και εάν όμως χρειαστεί, ΠΑΛΙ θα ΓΥΡΙΣΟΥΜΕ γιατί ΘΑ ΕΡΧΟΝΤΑΙ ΣΤΙΓΜΕΣ όπου η ΜΕΛΑΓΧΟΛΙΑ ΜΑΣ θα είναι τόσο μεγάλη από το ΕΓΚΛΗΜΑ ΚΑΡΔΙΑΣ σου. ΕΣΕΝΑ ΝΑ ΑΚΟΥΜΕ μόνο, γιατί ΟΛΑ ΓΙΑ ΣΕΝΑ προέρχονται ΑΠΟ ΕΡΩΤΑ. ΠΡΕΠΕΙ ΔΕΝ ΠΡΕΠΕΙ,ΠΟΙΟΝ ΚΟΡΟΪΔΕΎΟΥΜΕ ; ΤΩΡΑ ΤΙ ΝΑ ΤΟ ΚΑΝΟΥΜΕ που ευχόμαστε να είχαμε ΔΥΟ ΖΩΕΣ για να σε ακούμε αφού έχεις κάνει ένα ΔΩΡΟ ΓΙΑ ΕΜΑΣ!!
Read more",https://www.youtube.com/watch?v=b0z_dp5-luQ
"«Με την ψυχή μου δεν τα βρήκα πουθενά
Στέγνωσα θάλασσες και γκρέμισα βουνά
γιατί εκείνα που τα ήθελα πολύ ποτε δεν ήρθαν.»",https://www.youtube.com/watch?v=b0z_dp5-luQ
"Το καλυτερο δωρο του Νοεμβρη!
Το τραγούδι της χρονιάς!
Το τραγουδι της ζωης του!
Το τραγουδι ολων εμας που μας εκφραζει! 
Read more",https://www.youtube.com/watch?v=b0z_dp5-luQ
Μακράν ο καλύτερος τραγουδιστής της γενιάς του!! Συγχαρητήρια στους δημιουργούς και φυσικά στην φωνάρα του Νίκου!!,https://www.youtube.com/watch?v=b0z_dp5-luQ
"Νικολάρα για άλλη μια φορά μίλησες κατευθείαν μέσα στη ψυχή μας! Ο Θεός να σε έχει καλά, να μας γιατρεύεις τη ψυχή με τις κομματάρες σου!",https://www.youtube.com/watch?v=b0z_dp5-luQ
"The video clip is magnificent, the beauty of Greece 🇬🇷with the beauty of the voice of the singer and his soul is a wonderful art moment of connection and escape. Thank you for this song ",https://www.youtube.com/watch?v=b0z_dp5-luQ
"Πραγματικά το τραγούδι είναι υπέροχο!θα κάνει τεράστια επιτυχία!
Επανήλθε ο παλιός καλός οικονομοπουλος",https://www.youtube.com/watch?v=b0z_dp5-luQ
