,comment,link,date,language,toxicity
0,"Ο ""Έκπτωτος Άγγελος"" μόλις κυκλοφόρησε και είμαι σίγουρος ότι θα το αγαπήσετε όσο εγώ! ",https://www.youtube.com/watch?v=b0z_dp5-luQ,πριν από 11 ημέρες,greek,1.0
1,"Σαν ΕΚΠΤΩΤΟΣ ΑΓΓΕΛΟΣ ήρθες στις ζωές μας, αλλά Ο ΧΑΡΑΚΤΗΡΑΣ ΣΟΥ μας έκανε ΓΙΑ ΚΑΠΟΙΟ ΛΟΓΟ ΚΑΘΗΜΕΡΙΝΑ ΚΑΝΟΥΜΕ ΑΥΤΟ ΠΟΥ ΞΕΡΟΥΜΕ, δηλαδή να ΒΑΖΟΥΜΕ ΤΕΡΜΑ τα τραγούδια σου. ΓΙΑ ΧΙΛΙΟΥΣ ΛΟΓΟΥΣ βρίσκεσαι στην ΠΡΩΤΗ ΘΕΣΗ και εμείς ΟΣΟ ΤΙΠΟΤΑ ΣΕ ΘΕΛΟΥΜΕ. ΓΙΑ ΠΑΡΑΔΕΙΓΜΑ, στην ΟΔΟ ΜΟΝΑΞΙΑΣ ΕΙΝΑΙ ΚΑΤΙ ΛΑΪΚΆ με τα οποία είμαστε ΕΞΑΡΤΗΜΕΝΟΙ. ΕΝΝΟΕΙΤΑΙ πως ΕΞΑΙΤΙΑΣ ΣΟΥ δεν είναι ποτέ ΩΡΑ ΝΑ ΠΗΓΑΙΝΟΥΜΕ και ΔΕΝ ΦΕΥΓΟΥΜΕ ΤΩΡΑ. Και εάν όμως χρειαστεί, ΠΑΛΙ θα ΓΥΡΙΣΟΥΜΕ γιατί ΘΑ ΕΡΧΟΝΤΑΙ ΣΤΙΓΜΕΣ όπου η ΜΕΛΑΓΧΟΛΙΑ ΜΑΣ θα είναι τόσο μεγάλη από το ΕΓΚΛΗΜΑ ΚΑΡΔΙΑΣ σου. ΕΣΕΝΑ ΝΑ ΑΚΟΥΜΕ μόνο, γιατί ΟΛΑ ΓΙΑ ΣΕΝΑ προέρχονται ΑΠΟ ΕΡΩΤΑ. ΠΡΕΠΕΙ ΔΕΝ ΠΡΕΠΕΙ,ΠΟΙΟΝ ΚΟΡΟΪΔΕΎΟΥΜΕ ; ΤΩΡΑ ΤΙ ΝΑ ΤΟ ΚΑΝΟΥΜΕ που ευχόμαστε να είχαμε ΔΥΟ ΖΩΕΣ για να σε ακούμε αφού έχεις κάνει ένα ΔΩΡΟ ΓΙΑ ΕΜΑΣ!!
Διαβάστε περισσότερα",https://www.youtube.com/watch?v=b0z_dp5-luQ,πριν από 12 ημέρες (τροποποιήθηκε),greek,1.0
2,Οταν ο Γιωργος γράφει ύμνους...ο στιχουργός ποιήματα... και ο Οικονομοπουλος δεν τα τραγουδάει απλά  αλλά τα ερμηνεύει ,https://www.youtube.com/watch?v=b0z_dp5-luQ,πριν από 2 ημέρες,greek,3.0
3,Τι τραγουδάρα είναι αυτή!!! Επιτέλους κι ενα λαϊκό τραγούδι μέσα στην αηδία της τραπ που μας εχει κατακλύσει. Νομίζω μόνο ο Οικονομόπουλος θα μπορούσε να το ερμηνεύσει αυτό!,https://www.youtube.com/watch?v=b0z_dp5-luQ,πριν από 2 ημέρες,greek,3.0
4,"Το Άκουσα το πρωί το τραγούδι 
Και αντί για γάλα στη βρώμη έβαλα ουίσκι.
Κόψε μας τα μεροκάματα Νικόλα...
Καλοτάξιδο",https://www.youtube.com/watch?v=b0z_dp5-luQ,πριν από 11 ημέρες (τροποποιήθηκε),greek,3.0
5,"Στην εποχή που το λαικό τραγούδι ειναι πιο χτυπημένο από ποτέ απ την ξενολατρία και τις αντι-πολιτισμικές τακτικές που σχεδόν εξαφανίζουν τους δημιουργούς αυτής της χώρας, ο Σαμπάνης, ο Γρίτσης και ο ψυχολόγος της καρδιάς μας με κομμάτια σαν αυτό, κρατάνε την φλόγα αναμμένη.",https://www.youtube.com/watch?v=b0z_dp5-luQ,πριν από 11 ημέρες,greek,4.0
6,"Δε μας απογοητευει ποτέ αυτος ο άνθρωπος! Δικαίως βρίσκεται σρη κορυφή τοσα χρόνια κ θα συνεχίσει να είναι! Του αξίζει μεγαλο ""ευχαριστώ"" για όσα εχει προσφέρει στη ελληνική μουσική μεχρι σήμερα κ ενα μεγαλο χειροκρότημα! Πολλα συγχαρητήρια κ στους δημιουργούς του τραγουδιού, Σαμπάνη-Γριτση, γιατί περα απ'τη φωνή, καλό είναι να θυμόμαστε κ τους αφανείς ήρωες, που βάζουν τη έμπνευση κ το μεράκι τοτς καθε φορά, για να ακούμε κ να διασκεδάζουμε μαζι τους!!
Διαβάστε περισσότερα",https://www.youtube.com/watch?v=b0z_dp5-luQ,πριν από 11 ημέρες,greek,2.0
7,"Συγχαρητηρια, υπέροχη ερμηνεία!!!  από  Γερμανια",https://www.youtube.com/watch?v=b0z_dp5-luQ,πριν από 1 ημέρα,english,4.0
8,Υπέροχο  μπράβο Νικολάρα μου ️ αγγίζει κατευθείαν ψυχή...,https://www.youtube.com/watch?v=b0z_dp5-luQ,πριν από 1 ημέρα,english,1.0
9,"Με τη ψυχή μου δεν τα βρήκα πουθενά στέγνωσα θάλασσες και γκρέμισα βουνά...
Νίκο μας  ψυχολογε της καρδιάς μας σε ευχαριστούμε για ακόμα μια φορά για αυτή την ερμηνεία τι λόγια ... συγχαρητήρια σε όλη την ομάδα...",https://www.youtube.com/watch?v=b0z_dp5-luQ,πριν από 9 ημέρες,greek,2.0
10,"Μπράβο ρε Νικόλα για τημ κοματάρα που έβγαλες!!!ΣΑΜΠΑΝΗ ΚΑΙ ΓΡΙΤΣΗ δεν υύπαρχουν λόγια,δώστε μας τέτοια αριστουργήματα",https://www.youtube.com/watch?v=b0z_dp5-luQ,πριν από 10 ημέρες,greek,3.0
11,"Η μεγαλύτερη στιγμή του Νίκου και του Σαμπάνη μαζί με το ""Ώρες μικρές"". Συγχαρητήρια και στον στιχουργό. Δεν υπάρχουν λόγια.",https://www.youtube.com/watch?v=b0z_dp5-luQ,πριν από 11 ημέρες,greek,1.0
12,Για άλλη μια φορά μας άφησες άφωνους και επιτέλους μετά από καιρό ένα ζεϊμπέκικο με πανέμορφο στίχο. Ο ΚΑΛΥΤΕΡΟΣ ΤΡΑΓΟΥΔΙΣΤΗΣ ΜΑΣ ΣΥΝΕΧΙΣΕ ΕΤΣΙ️,https://www.youtube.com/watch?v=b0z_dp5-luQ,πριν από 12 ημέρες,greek,3.0
13,"«Με την ψυχή μου δεν τα βρήκα πουθενά
Στέγνωσα θάλασσες και γκρέμισα βουνά
γιατί εκείνα που τα ήθελα πολύ ποτε δεν ήρθαν.»",https://www.youtube.com/watch?v=b0z_dp5-luQ,πριν από 11 ημέρες,greek,2.0
14,Δε περίμενα κάτι λιγότερο με εμπλεκόμενο Σαμπάνη . Νίκο μου σε τέτοια τραγούδια σε θελουμε  κάθε στοίχος και ανατριχίλα ️ Σε ευχαριστούμε που υπάρχεις και μας μαγεύεις με τη μαγική φωνή σου    ️ ΔΕ ΣΕ ΦΤΑΝΕΙ ΚΑΝΕΙΣ,https://www.youtube.com/watch?v=b0z_dp5-luQ,πριν από 11 ημέρες,greek,1.0
15,ΟΙ ΣΥΝΕΔΡΙΕΣ ΔΕΝ ΘΑ ΣΤΑΜΑΤΗΣΟΥΝ ΠΟΤΕ!!!!!,https://www.youtube.com/watch?v=b0z_dp5-luQ,πριν από 9 ημέρες,english,3.0
16,"Νικολάρα για άλλη μια φορά μίλησες κατευθείαν μέσα στη ψυχή μας! Ο Θεός να σε έχει καλά, να μας γιατρεύεις τη ψυχή με τις κομματάρες σου!",https://www.youtube.com/watch?v=b0z_dp5-luQ,πριν από 11 ημέρες,greek,2.0
